[a_custom_cnn] Epoch 01/40 | Train 0.8789/0.4913 | Val 0.7673/0.4632 | Patience 0/10 *
[a_custom_cnn] Epoch 01/40 | Train 0.8789/0.4913 | Val 0.7673/0.4632 | Patience 0/10 *
[a_custom_cnn] Epoch 01/40 | Train 0.8789/0.4913 | Val 0.7673/0.4632 | Patience 0/10 *
[a_custom_cnn] Epoch 02/40 | Train 0.7602/0.5508 | Val 0.7074/0.7049 | Patience 0/10 *
[a_custom_cnn] Epoch 01/40 | Train 0.8789/0.4913 | Val 0.7673/0.4632 | Patience 0/10 *
[a_custom_cnn] Epoch 02/40 | Train 0.7602/0.5508 | Val 0.7074/0.7049 | Patience 0/10 *
[a_custom_cnn] Epoch 01/40 | Train 0.8789/0.4913 | Val 0.7673/0.4632 | Patience 0/10 *
[a_custom_cnn] Epoch 02/40 | Train 0.7602/0.5508 | Val 0.7074/0.7049 | Patience 0/10 *
[a_custom_cnn] Epoch 01/40 | Train 0.8789/0.4913 | Val 0.7673/0.4632 | Patience 0/10 *
[a_custom_cnn] Epoch 02/40 | Train 0.7602/0.5508 | Val 0.7074/0.7049 | Patience 0/10 *
[a_custom_cnn] Epoch 01/40 | Train 0.8789/0.4913 | Val 0.7673/0.4632 | Patience 0/10 *
[a_custom_cnn] Epoch 02/40 | Train 0.7602/0.5508 | Val 0.7074/0.7049 | Patience 0/10 *
[a_custom_cnn] Epoch 03/40 | Train 0.6979/0.6088 | Val 0.8596/0.6676 | Patience 1/10
[a_custom_cnn] Epoch 04/40 | Train 0.6724/0.6358 | Val 0.7363/0.6428 | Patience 2/10
[a_custom_cnn] Epoch 01/40 | Train 0.8789/0.4913 | Val 0.7673/0.4632 | Patience 0/10 *
[a_custom_cnn] Epoch 02/40 | Train 0.7602/0.5508 | Val 0.7074/0.7049 | Patience 0/10 *
[a_custom_cnn] Epoch 03/40 | Train 0.6979/0.6088 | Val 0.8596/0.6676 | Patience 1/10
[a_custom_cnn] Epoch 04/40 | Train 0.6724/0.6358 | Val 0.7363/0.6428 | Patience 2/10
[a_custom_cnn] Epoch 01/40 | Train 0.8789/0.4913 | Val 0.7673/0.4632 | Patience 0/10 *
[a_custom_cnn] Epoch 02/40 | Train 0.7602/0.5508 | Val 0.7074/0.7049 | Patience 0/10 *
[a_custom_cnn] Epoch 03/40 | Train 0.6979/0.6088 | Val 0.8596/0.6676 | Patience 1/10
[a_custom_cnn] Epoch 04/40 | Train 0.6724/0.6358 | Val 0.7363/0.6428 | Patience 2/10
[a_custom_cnn] Epoch 05/40 | Train 0.6580/0.6585 | Val 0.8263/0.4222 | Patience 3/10
[a_custom_cnn] Epoch 01/40 | Train 0.8789/0.4913 | Val 0.7673/0.4632 | Patience 0/10 *
[a_custom_cnn] Epoch 02/40 | Train 0.7602/0.5508 | Val 0.7074/0.7049 | Patience 0/10 *
[a_custom_cnn] Epoch 03/40 | Train 0.6979/0.6088 | Val 0.8596/0.6676 | Patience 1/10
[a_custom_cnn] Epoch 04/40 | Train 0.6724/0.6358 | Val 0.7363/0.6428 | Patience 2/10
[a_custom_cnn] Epoch 05/40 | Train 0.6580/0.6585 | Val 0.8263/0.4222 | Patience 3/10
[a_custom_cnn] Epoch 01/40 | Train 0.8789/0.4913 | Val 0.7673/0.4632 | Patience 0/10 *
[a_custom_cnn] Epoch 02/40 | Train 0.7602/0.5508 | Val 0.7074/0.7049 | Patience 0/10 *
[a_custom_cnn] Epoch 03/40 | Train 0.6979/0.6088 | Val 0.8596/0.6676 | Patience 1/10
[a_custom_cnn] Epoch 04/40 | Train 0.6724/0.6358 | Val 0.7363/0.6428 | Patience 2/10
[a_custom_cnn] Epoch 05/40 | Train 0.6580/0.6585 | Val 0.8263/0.4222 | Patience 3/10
[a_custom_cnn] Epoch 06/40 | Train 0.6088/0.6906 | Val 0.5560/0.7631 | Patience 0/10 *
[a_custom_cnn] Epoch 01/40 | Train 0.8789/0.4913 | Val 0.7673/0.4632 | Patience 0/10 *
