[b1_frozen_efficientnet] Epoch 01/40 | Train 0.7055/0.6645 | Val 0.7667/0.6686 | Patience 0/10 *
[b1_frozen_efficientnet] Epoch 02/40 | Train 0.6119/0.6961 | Val 0.6812/0.7144 | Patience 0/10 *
[b1_frozen_efficientnet] Epoch 01/40 | Train 0.7055/0.6645 | Val 0.7667/0.6686 | Patience 0/10 *
[b1_frozen_efficientnet] Epoch 02/40 | Train 0.6119/0.6961 | Val 0.6812/0.7144 | Patience 0/10 *
[b1_frozen_efficientnet] Epoch 01/40 | Train 0.7055/0.6645 | Val 0.7667/0.6686 | Patience 0/10 *
[b1_frozen_efficientnet] Epoch 02/40 | Train 0.6119/0.6961 | Val 0.6812/0.7144 | Patience 0/10 *
[b1_frozen_efficientnet] Epoch 03/40 | Train 0.5945/0.7202 | Val 0.7045/0.6791 | Patience 1/10
[b1_frozen_efficientnet] Epoch 04/40 | Train 0.5722/0.7245 | Val 0.7505/0.6839 | Patience 2/10
[b1_frozen_efficientnet] Epoch 05/40 | Train 0.5797/0.7142 | Val 0.6848/0.7077 | Patience 3/10
[b1_frozen_efficientnet] Epoch 06/40 | Train 0.5499/0.7386 | Val 0.6638/0.6285 | Patience 0/10 *
[b1_frozen_efficientnet] Epoch 01/40 | Train 0.7055/0.6645 | Val 0.7667/0.6686 | Patience 0/10 *
[b1_frozen_efficientnet] Epoch 02/40 | Train 0.6119/0.6961 | Val 0.6812/0.7144 | Patience 0/10 *
[b1_frozen_efficientnet] Epoch 03/40 | Train 0.5945/0.7202 | Val 0.7045/0.6791 | Patience 1/10
[b1_frozen_efficientnet] Epoch 04/40 | Train 0.5722/0.7245 | Val 0.7505/0.6839 | Patience 2/10
[b1_frozen_efficientnet] Epoch 05/40 | Train 0.5797/0.7142 | Val 0.6848/0.7077 | Patience 3/10
[b1_frozen_efficientnet] Epoch 06/40 | Train 0.5499/0.7386 | Val 0.6638/0.6285 | Patience 0/10 *
[b1_frozen_efficientnet] Epoch 01/40 | Train 0.7055/0.6645 | Val 0.7667/0.6686 | Patience 0/10 *
[b1_frozen_efficientnet] Epoch 02/40 | Train 0.6119/0.6961 | Val 0.6812/0.7144 | Patience 0/10 *
[b1_frozen_efficientnet] Epoch 03/40 | Train 0.5945/0.7202 | Val 0.7045/0.6791 | Patience 1/10
[b1_frozen_efficientnet] Epoch 04/40 | Train 0.5722/0.7245 | Val 0.7505/0.6839 | Patience 2/10
[b1_frozen_efficientnet] Epoch 05/40 | Train 0.5797/0.7142 | Val 0.6848/0.7077 | Patience 3/10
[b1_frozen_efficientnet] Epoch 06/40 | Train 0.5499/0.7386 | Val 0.6638/0.6285 | Patience 0/10 *
[b1_frozen_efficientnet] Epoch 07/40 | Train 0.5481/0.7321 | Val 0.6248/0.6581 | Patience 0/10 *
[b1_frozen_efficientnet] Epoch 08/40 | Train 0.5391/0.7403 | Val 0.6781/0.6609 | Patience 1/10
[b1_frozen_efficientnet] Epoch 09/40 | Train 0.5300/0.7398 | Val 0.6372/0.6676 | Patience 2/10
[b1_frozen_efficientnet] Epoch 10/40 | Train 0.5210/0.7505 | Val 0.7352/0.7030 | Patience 3/10
[b1_frozen_efficientnet] Epoch 11/40 | Train 0.5312/0.7400 | Val 0.6499/0.7030 | Patience 4/10
