[b2_finetuned_efficientnet] Epoch 01/25 | Train 1.0807/0.4057 | Val 0.9724/0.4900 | Patience 0/8 *
[b2_finetuned_efficientnet] Epoch 01/25 | Train 1.0807/0.4057 | Val 0.9724/0.4900 | Patience 0/8 *
[b2_finetuned_efficientnet] Epoch 01/25 | Train 1.0807/0.4057 | Val 0.9724/0.4900 | Patience 0/8 *
[b2_finetuned_efficientnet] Epoch 02/25 | Train 0.9390/0.5513 | Val 0.8898/0.5444 | Patience 0/8 *
[b2_finetuned_efficientnet] Epoch 03/25 | Train 0.8547/0.6105 | Val 0.8214/0.6084 | Patience 0/8 *
[b2_finetuned_efficientnet] Epoch 04/25 | Train 0.7989/0.6385 | Val 0.7808/0.6409 | Patience 0/8 *
[b2_finetuned_efficientnet] Epoch 05/25 | Train 0.7704/0.6540 | Val 0.7782/0.6342 | Patience 0/8 *
[b2_finetuned_efficientnet] Epoch 01/25 | Train 1.0807/0.4057 | Val 0.9724/0.4900 | Patience 0/8 *
[b2_finetuned_efficientnet] Epoch 02/25 | Train 0.9390/0.5513 | Val 0.8898/0.5444 | Patience 0/8 *
[b2_finetuned_efficientnet] Epoch 03/25 | Train 0.8547/0.6105 | Val 0.8214/0.6084 | Patience 0/8 *
[b2_finetuned_efficientnet] Epoch 04/25 | Train 0.7989/0.6385 | Val 0.7808/0.6409 | Patience 0/8 *
[b2_finetuned_efficientnet] Epoch 05/25 | Train 0.7704/0.6540 | Val 0.7782/0.6342 | Patience 0/8 *
[b2_finetuned_efficientnet] Epoch 01/25 | Train 1.0807/0.4057 | Val 0.9724/0.4900 | Patience 0/8 *
[b2_finetuned_efficientnet] Epoch 02/25 | Train 0.9390/0.5513 | Val 0.8898/0.5444 | Patience 0/8 *
[b2_finetuned_efficientnet] Epoch 03/25 | Train 0.8547/0.6105 | Val 0.8214/0.6084 | Patience 0/8 *
[b2_finetuned_efficientnet] Epoch 04/25 | Train 0.7989/0.6385 | Val 0.7808/0.6409 | Patience 0/8 *
[b2_finetuned_efficientnet] Epoch 05/25 | Train 0.7704/0.6540 | Val 0.7782/0.6342 | Patience 0/8 *
[b2_finetuned_efficientnet] Epoch 06/25 | Train 0.7339/0.6683 | Val 0.7563/0.6313 | Patience 0/8 *
[b2_finetuned_efficientnet] Epoch 07/25 | Train 0.7166/0.6707 | Val 0.7210/0.6609 | Patience 0/8 *
[b2_finetuned_efficientnet] Epoch 08/25 | Train 0.6843/0.6908 | Val 0.7416/0.6734 | Patience 1/8
[b2_finetuned_efficientnet] Epoch 09/25 | Train 0.6745/0.6827 | Val 0.7354/0.6581 | Patience 2/8
